Name,Region,County,Metres,Feet,Latitude,Longitude,Matthew,Scott
Meall nan Ceapraichean,15A: Loch Broom to Strath Oykel,Highland,976.8,3205,57.798514,-4.934012,,
Carn a' Gheoidh,06B: Pitlochry to Braemar & Blairgowrie,Aberdeenshire/Perth and Kinross,976.1,3202,56.873065,-3.466616,2024,
Beinn a' Ghlo - Carn Liath,06B: Pitlochry to Braemar & Blairgowrie,Perth and Kinross,975.8,3201,56.80777,-3.74409,2025,
Beinn Sgritheall,10A: Glen Shiel to Loch Hourn and Loch Quoich,Highland,974,3196,57.153815,-5.579727,,
Ben Lomond,01C: Loch Lomond to Strathyre,Stirling,973.7,3195,56.190302,-4.63301,,2000
A' Mharconaich,05A: Loch Ericht to Glen Tromie & Glen Garry,Highland,973.2,3193,56.857002,-4.290668,,
Stuc a' Chroin,01B: Strathyre to Strathallan,Perth and Kinross/Stirling,973,3192,56.329315,-4.237533,2016,
Sgurr a' Ghreadaidh,17B: Minginish and the Cuillin Hills,Highland,972.1,3189,57.227313,-6.234425,,
Aonach Eagach - Sgorr nam Fiannaidh,03A: Loch Leven to Rannoch Station,Highland,967.7,3175,56.679387,-5.037143,,
Meall Garbh (Carn Mairg),02A: Loch Rannoch to Glen Lyon,Perth and Kinross,967.5,3174,56.637381,-4.207472,2025,
Sgurr nan Gillean,17B: Minginish and the Cuillin Hills,Highland,966.1,3170,57.248215,-6.193159,,
A' Mhaighdean,14A: Loch Maree to Loch Broom,Highland,965.8,3169,57.719653,-5.346738,,
Ben More (Mull),17E: Mull and Nearby Islands,Argyll and Bute,966,3169,56.424829,-6.013999,,
Sgurr na Banachdich [Sgurr na Banachdaich],17B: Minginish and the Cuillin Hills,Highland,965,3166,57.220972,-6.241638,,
Carn a' Chlamain,06A: Glen Tromie to Glen Tilt,Perth and Kinross,963.5,3161,56.860965,-3.779634,,
Sgurr Thuilm,10D: Mallaig to Fort William,Highland,963,3159,56.937056,-5.389207,,
Ben Klibreck - Meall nan Con,16D: Altnaharra to Dornoch,Highland,962.1,3156,58.235202,-4.41113,,
Sgorr Ruadh,13B: Applecross to Achnasheen,Highland,960.7,3152,57.498622,-5.407747,,
Stuc an Lochain [Stuchd an Lochain],02A: Loch Rannoch to Glen Lyon,Perth and Kinross,959.5,3148,56.570907,-4.470602,,
Meall Glas,02B: Glen Lyon to Glen Dochart & Loch Tay,Stirling,959.3,3147,56.455711,-4.546837,,
Beinn Fhionnlaidh,03B: Loch Linnhe to Loch Etive,Argyll and Bute,959,3146,56.600978,-5.104749,,
Beinn nan Aighenan,03C: Glen Etive to Glen Lochy,Argyll and Bute,959,3146,56.520349,-5.011178,,
Bruach na Frithe,17B: Minginish and the Cuillin Hills,Highland,958.8,3146,57.246761,-6.210795,,
Buachaille Etive Beag - Stob Dubh,03B: Loch Linnhe to Loch Etive,Highland,958,3143,56.638159,-4.970747,,
Tolmount,07A: Braemar to Montrose,Aberdeenshire/Angus,957.8,3142,56.904724,-3.297946,2021,
Tom Buidhe,07A: Braemar to Montrose,Angus,957.8,3142,56.893624,-3.292357,2021,
Sgurr nan Coireachan (Glenfinnan),10D: Mallaig to Fort William,Highland,956.3,3137,56.935728,-5.448551,,
Carn Ghluasaid,11B: Glen Affric to Glen Moriston,Highland,956.3,3137,57.165959,-5.068159,,
Saileag,11A: Loch Duich to Cannich,Highland,956,3136,57.181264,-5.281331,,
Sgor Gaibhre,04B: Loch Treig to Loch Ericht,Highland/Perth and Kinross,954.7,3132,56.772544,-4.546498,,
Beinn Liath Mhor Fannaich,14B: The Fannaichs,Highland,954.2,3131,57.706095,-4.989775,,
Sgurr nan Coireachan (Glen Shiel),10B: Knoydart to Glen Kingie,Highland,953.8,3129,57.007158,-5.40544,,
Buachaille Etive Mor - Stob na Broige,03B: Loch Linnhe to Loch Etive,Highland,953.4,3128,56.629879,-4.951162,,
Am Faochagach,15A: Loch Broom to Strath Oykel,Highland,953,3127,57.771801,-4.853882,,
Beinn Mhanach,02A: Loch Rannoch to Glen Lyon,Perth and Kinross,952.5,3125,56.534032,-4.646042,,
Aonach Eagach - Meall Dearg,03A: Loch Leven to Rannoch Station,Highland,952.3,3124,56.68074,-5.003235,,
Meall Chuaich,05B: Loch Ericht to Glen Tromie & Glen Garry,Highland,950.8,3119,56.96385,-4.112568,,
Meall Gorm,14B: The Fannaichs,Highland,949.7,3116,57.680837,-4.983801,,
Beinn Bhuidhe,01D: Inveraray to Crianlarich,Argyll and Bute,948.5,3112,56.326686,-4.906709,,
Sgurr Mhic Choinnich,17B: Minginish and the Cuillin Hills,Highland,948.1,3111,57.208956,-6.224099,,
Driesh,07A: Braemar to Montrose,Angus,947.6,3109,56.848003,-3.196539,2025,
Creag a' Mhaim,10A: Glen Shiel to Loch Hourn and Loch Quoich,Highland,946.2,3104,57.120971,-5.160048,,
Sgurr na Sgine,10A: Glen Shiel to Loch Hourn and Loch Quoich,Highland,946,3104,57.147088,-5.396666,,
Beinn Tulaichean,01C: Loch Lomond to Strathyre,Stirling,945.8,3103,56.342234,-4.563315,,
Carn Dearg (Monadhliath),09B: Glen Albyn and the Monadh Liath,Highland,945.7,3103,57.092261,-4.253246,,
Meall Buidhe (Knoydart),10B: Knoydart to Glen Kingie,Highland,945.5,3102,57.031543,-5.546333,,
Carn Bhac,06B: Pitlochry to Braemar & Blairgowrie,Aberdeenshire,945.1,3101,56.930558,-3.560897,,
Stob a' Choire Odhair,03C: Glen Etive to Glen Lochy,Argyll and Bute/Highland,945,3100,56.573308,-4.838302,,
Bidein a' Choire Sheasgaich,12A: Kyle of Lochalsh to Garve,Highland,945,3100,57.41971,-5.250472,,
Sgurr Dubh Mor,17B: Minginish and the Cuillin Hills,Highland,944.1,3097,57.204869,-6.211385,,
Binnein Beag,04A: Fort William to Loch Treig & Loch Leven,Highland,943,3094,56.766961,-4.911161,,
Ben Vorlich (Loch Lomond,01D: Inveraray to Crianlarich,Argyll and Bute,942.8,3093,56.274021,-4.755046,2025,2020
An Socach (Braemar),06B: Pitlochry to Braemar & Blairgowrie,Aberdeenshire,942.8,3093,56.902007,-3.512431,,
Beinn a' Chroin,01C: Loch Lomond to Strathyre,Stirling,941.4,3089,56.331991,-4.609644,,
Carn Dearg (Corrour),04B: Loch Treig to Loch Ericht,Highland/Perth and Kinross,941,3087,56.759922,-4.589888,,
Carn na Caim,05B: Loch Ericht to Glen Tromie & Glen Garry,Highland/Perth and Kinross,940.8,3087,56.911722,-4.174444,,
Mullach nan Coirean,04A: Fort William to Loch Treig & Loch Leven,Highland,939.3,3082,56.749866,-5.072446,,
Mount Keen,07B: Braemar to Montrose,Aberdeenshire/Angus,939.4,3082,56.96976,-2.973622,,
Luinne Bheinn,10B: Knoydart to Glen Kingie,Highland,938.6,3079,57.048325,-5.513607,,
Beinn Sgulaird,03B: Loch Linnhe to Loch Etive,Argyll and Bute,937,3074,56.56624,-5.170399,,
Sron a' Choire Ghairbh,10C: Loch Arkaig to Glen Moriston,Highland,936.2,3072,57.00784,-4.928747,,
A' Bhuidheanach Bheag,05B: Loch Ericht to Glen Tromie & Glen Garry,Highland/Perth and Kinross,936,3071,56.870342,-4.199001,,
Beinn na Lap,04B: Loch Treig to Loch Ericht,Highland,935,3068,56.78939,-4.659977,,
Beinn Tarsuinn,14A: Loch Maree to Loch Broom,Highland,933.8,3064,57.702052,-5.291617,,
